"Code","Display","Codesystem","Category"
"227444000","Raspberries ","http://snomed.info/sct","food"
"227493005","Cashew nut ","http://snomed.info/sct","food"
"227511008","Pine nut ","http://snomed.info/sct","food"
"227512001","Pistachio nut ","http://snomed.info/sct","food"
"227538001","Pickle ","http://snomed.info/sct","food"
"230034002","Nuts and seeds ","http://snomed.info/sct","food"
"255631004","Antibiotic ","http://snomed.info/sct","medication"
"255632006","Anticonvulsant ","http://snomed.info/sct","medication"
"255641001","Caffeine ","http://snomed.info/sct","medication"
"256259004","Pollen ","http://snomed.info/sct","environment"
"256260009","Tree and shrub pollen ","http://snomed.info/sct","environment"
"256277009","Grass pollen ","http://snomed.info/sct","environment"
"256292005","Flower and weed pollen ","http://snomed.info/sct","environment"
"256303006","Ragweed pollen ","http://snomed.info/sct","environment"
"256305004","Tree resin ","http://snomed.info/sct","environment"
"256306003","Orange - fruit ","http://snomed.info/sct","food"
"256307007","Banana ","http://snomed.info/sct","food"
"256313003","Pineapple ","http://snomed.info/sct","food"
"256319004","Carrot ","http://snomed.info/sct","food"
"256326004","Celery ","http://snomed.info/sct","food"
"256350002","Almond ","http://snomed.info/sct","food"
"256352005","Walnut - nut ","http://snomed.info/sct","food"
"256353000","Hazelnut ","http://snomed.info/sct","food"
"256355007","Soya bean ","http://snomed.info/sct","food"
"256417003","Horse dander ","http://snomed.info/sct","environment"
"256419000","Mouse epithelium ","http://snomed.info/sct","environment"
"256435007","Feather ","http://snomed.info/sct","environment"
"256440004","Wasp venom ","http://snomed.info/sct","biologic"
"256443002","Egg white ","http://snomed.info/sct","food"
"256504004","Polycarbonate dental material ","http://snomed.info/sct","environment"
"259170003","Diethyl ether ","http://snomed.info/sct","medication"
"259221006","Methanol ","http://snomed.info/sct","environment"
"259298008","Acid phosphatase bone isoenzyme ","http://snomed.info/sct","biologic"
"260108001","Wormwood pollen ","http://snomed.info/sct","environment"
"260118006","Wall pellitory pollen ","http://snomed.info/sct","environment"
"260126003","Olive pollen ","http://snomed.info/sct","environment"
"260152009","Cat dander ","http://snomed.info/sct","environment"
"260153004","Cow dander ","http://snomed.info/sct","environment"
"260154005","Dog dander ","http://snomed.info/sct","environment"
"260156007","Mouse urine proteins ","http://snomed.info/sct","environment"
"260167008","Sesame seed ","http://snomed.info/sct","food"
"260176001","Kiwi fruit ","http://snomed.info/sct","food"
"260177005","Melon ","http://snomed.info/sct","food"
"260179008","Mango fruit ","http://snomed.info/sct","food"
"264287008","Animal dander ","http://snomed.info/sct","environment"
"264295007","Cow's milk protein ","http://snomed.info/sct","food"
"264331002","Grain ","http://snomed.info/sct","food"
"264337003","Seed ","http://snomed.info/sct","food"
"273948005","Chloral hydrate ","http://snomed.info/sct","medication"
"276310004","Non-human hair - material ","http://snomed.info/sct","environment"
"278840001","Shrimp ","http://snomed.info/sct","food"
"280939008","Insect venom ","http://snomed.info/sct","biologic"
"288328004","Bee venom ","http://snomed.info/sct","biologic"
"289949002","Cypress pollen ","http://snomed.info/sct","environment"
"303300008","Egg protein ","http://snomed.info/sct","food"
"303314008","Scorpion venom ","http://snomed.info/sct","biologic"
"303315009","Spider venom ","http://snomed.info/sct","biologic"
"303960004","Medicinal product acting as thrombolytic agent ","http://snomed.info/sct","medication"
"312064005","Hypoglycemic agent ","http://snomed.info/sct","medication"
"319206000","Product containing lidoflazine ","http://snomed.info/sct","medication"
"319299000","Product containing lacidipine ","http://snomed.info/sct","medication"
"319318006","Product containing mibefradil ","http://snomed.info/sct","medication"
"320835005","Pollen allergy preparations ","http://snomed.info/sct","biologic"
"320917000","Product containing only oxygen in conventional release gas for inhalation (medicinal product form)","http://snomed.info/sct","medication"
"325781003","Product containing pituitary follicle stimulating hormone ","http://snomed.info/sct","biologic"
"330888007","Product containing rose bengal ","http://snomed.info/sct","medication"
"346313005","Allergen extract vaccine ","http://snomed.info/sct","biologic"
"346322006","Product containing anion exchange resin ","http://snomed.info/sct","medication"
"346364006","Cat allergy vaccine ","http://snomed.info/sct","biologic"
"346405008","Dog allergy vaccine ","http://snomed.info/sct","biologic"
"346441008","Product containing fish derived omega 3 fatty acid ","http://snomed.info/sct","food"
"346467003","Horse dander allergy vaccine ","http://snomed.info/sct","biologic"
"346468008","House dust allergy vaccine ","http://snomed.info/sct","biologic"
"346469000","House mite allergy vaccine ","http://snomed.info/sct","biologic"
